"Year"|"Event Name"|"Order Type"|"Order Type Code"|"Announcement Date"|"Announcement Time"|"Time Zone"|"State"|"County"|"County FIPS"|"Evacuation Area"|"Effective Date"|"Effective Time"
"2014"|"Hurricane Arthur"|"Voluntary evacuation order"|"2"|"2014-07-02"|"22:00:00"|"EDT"|"NC"|"Hyde County"|"37095"|"Ocracoke Island"|""|""
"2014"|"Hurricane Arthur"|"Mandatory evacuation order"|"1"|"2014-07-02"|"18:05:00"|"EDT"|"NC"|"Dare County"|"37055"|"Hatteras Island"|"2014-07-03"|"05:00:00"
"2014"|"Hurricane Arthur"|"State of emergency"|"0"|"2014-07-02"|""|""|"NC"|"Beaufort, Bertie, Bladen, Brunswick, Camden, Carteret, Chowan, Columbus, Craven, Currituck, Dare, Duplin, Gates, Hertford, Hyde, Jones, Martin, New Hanover, Onslow, Pamlico, Pasquotank, Pender, Perquimans, Pitt, Tyrrell, and Washington counties"|""|""|""|""
"2014"|"Hurricane Arthur"|"Mandatory evacuation order"|"1"|"2014-07-03"|"14:15:00"|"EDT"|"NC"|"Beaufort County"|"37013"|"Richland Township"|"2014-07-03"|"14:15:00"
"2014"|"Hurricane Arthur"|"Voluntary evacuation order"|"2"|"2014-07-03"|"14:15:00"|"EDT"|"NC"|"Beaufort County"|"37013"|"Aurora, Pamlico Beach, and Belhaven"|"2014-07-03"|"14:15:00"
"2014"|"Hurricane Arthur"|"Mandatory evacuation order lifted"|"3"|"2014-07-05"|"15:30:00"|"EDT"|"NC"|"Dare County"|"37055"|"Hatteras Island"|"2014-07-05"|"16:00:00"
"2015"|"Hurricane Joaquin"|"State of emergency"|"0"|"2015-10-02"|""|""|"DE"|"Sussex County"|"10005"|""|""|""
"2015"|"Hurricane Joaquin"|"State of emergency"|"0"|"2015-10-01"|""|""|"MD"|""|""|""|""|""
"2015"|"Hurricane Joaquin"|"Mandatory evacuation order"|"1"|"2015-10-01"|"14:45:00"|""|"NC"|"Hyde County"|"37095"|"Ocracoke Island"|"2015-10-01"|"15:00:00"
"2015"|"Hurricane Joaquin"|"State of emergency"|"0"|"2015-10-01"|""|""|"NC"|""|""|""|""|""
"2015"|"Hurricane Joaquin"|"Mandatory evacuation order lifted"|"3"|"2015-10-02"|"16:30:00"|""|"NC"|"Hyde County"|"37095"|"Ocracoke Island"|"2015-10-03"|"05:00:00"
"2015"|"Hurricane Joaquin"|"State of emergency"|"0"|"2015-10-01"|""|""|"NJ"|""|""|""|""|""
"2015"|"Hurricane Joaquin"|"State of emergency"|"0"|"2015-10-01"|""|""|"SC"|""|""|""|""|""
"2015"|"Hurricane Joaquin"|"State of emergency"|"0"|"2015-09-30"|""|""|"VA"|""|""|""|""|""
"2015"|"Hurricane Joaquin"|"Mandatory evacuation order"|"1"|"2015-10-01"|"18:00:00"|"EDT"|"VA"|"Lancaster County"|"51103"|"Windmill Point East of Cypress Lane; Little Bay Road, East of Dameron Drive; Ocran Road, East of Poplar Creek Cove; Fleets Bay Road, East of McSwain Road; Morattico Road, West of Norwood Church Road; Belle Isle Road; Wood Road, Ratcliffe Lane and Foster Lane; All areas of Towles Point"|"2015-10-02"|"10:00:00"
"2015"|"Hurricane Joaquin"|"Mandatory evacuation order lifted"|"3"|"2015-10-04"|"15:30:00"|""|"VA"|"Lancaster County"|"51103"|""|"2015-10-06"|"08:00:00"
"2016"|"Hurricane Hermine"|"State of emergency"|"0"|"2016-08-31"|""|""|"FL"|"Alachua, Baker, Bay, Bradford, Brevard, Calhoun, Citrus, Clay, Columbia, Dixie, Duval, Flagler, Franklin, Gadsden, Gilchrist, Gulf, Hamilton, Hernando, Hillsborough, Jackson, Jefferson, Lafayette, Lake, Leon, Levy, Liberty, Madison, Marion, Nassau, Orange, Pasco, Pinellas, Polk, Putnam, Seminole, St. Johns, Sumter, Suwannee, Taylor, Union, Volusia, and Wakulla"|""|""|""|""
"2016"|"Hurricane Hermine"|"State of emergency"|"0"|"2016-09-01"|""|""|"GA"|"Appling, Atkinson, Bacon, Ben Hill, Berrien, Brantley, Brooks, Bryan, Bulloch, Burke, Camden, Candler, Charlton, Chatham, Clinch, Coffee, Colquitt, Cook, Crisp, Decatur, Dodge, Echols, Effingham, Emanuel, Evans, Glynn, Grady, Irwin, Jeff Davis, Jefferson, Jenkins, Johnson, Lanier, Laurens, Liberty, Long, Lowndes, McIntosh, Mitchell, Montgomery, Pierce, Richmond, Screven, Seminole, Tattnall, Telfair, Thomas, Tift, Toombs, Treutlen, Turner, Ware, Wayne, Wheeler, Wilcox and Worth counties"|""|""|""|""
