COUNTYNAME,FIPS,SID,NAME,dummy,wind_kt
ALACHUA,12001,2016158N22272,COLIN,1,34
ALACHUA,12001,2016242N24279,HERMINE,1,50
ALACHUA,12001,2016257N27280,JULIA,1,34
ALACHUA,12001,2016273N13300,MATTHEW,1,50
ALACHUA,12001,2017242N16333,IRMA,1,50
ALACHUA,12001,2018280N18273,MICHAEL,1,34
ALACHUA,12001,2019236N10314,DORIAN,1,34
ALACHUA,12001,2019291N22264,NESTOR,1,34
ALACHUA,12001,2020211N13306,ISAIAS,1,34
ALACHUA,12001,2020306N15288,ETA,1,34
ALACHUA,12001,2021182N09317,ELSA,1,34
ALACHUA,12001,2022154N21273,ALEX,1,34
ALACHUA,12001,2022266N12294,IAN,1,34
ALACHUA,12001,2022311N21293,NICOLE,1,50
ALACHUA,12001,2023239N21274,IDALIA,1,50
ALACHUA,12001,2024214N18298,DEBBY,1,50
ALACHUA,12001,2024232N12229,HONE,1,34
ALACHUA,12001,2024266N14277,HELENE,1,50
ALACHUA,12001,2024278N21265,MILTON,1,34
BAKER,12003,2016158N22272,COLIN,1,34
BAKER,12003,2016242N24279,HERMINE,1,50
BAKER,12003,2016257N27280,JULIA,1,34
BAKER,12003,2016273N13300,MATTHEW,1,50
BAKER,12003,2017242N16333,IRMA,1,50
BAKER,12003,2018280N18273,MICHAEL,1,34
BAKER,12003,2019236N10314,DORIAN,1,34
BAKER,12003,2019291N22264,NESTOR,1,34
BAKER,12003,2020211N13306,ISAIAS,1,34
BAKER,12003,2020306N15288,ETA,1,34
BAKER,12003,2021182N09317,ELSA,1,34
BAKER,12003,2022154N21273,ALEX,1,34
BAKER,12003,2022266N12294,IAN,1,34
BAKER,12003,2022311N21293,NICOLE,1,34
BAKER,12003,2023239N21274,IDALIA,1,50
BAKER,12003,2024214N18298,DEBBY,1,50
BAKER,12003,2024266N14277,HELENE,1,50
BAKER,12003,2024278N21265,MILTON,1,34
BAY,12005,2016158N22272,COLIN,1,34
BAY,12005,2016242N24279,HERMINE,1,50
BAY,12005,2017242N16333,IRMA,1,34
BAY,12005,2018146N19273,ALBERTO,1,34
BAY,12005,2018280N18273,MICHAEL,1,64
BAY,12005,2019291N22264,NESTOR,1,34
BAY,12005,2020256N25281,SALLY,1,34
BAY,12005,2021222N14301,FRED,1,50
BAY,12005,2021252N28273,MINDY,1,50
BAY,12005,2022266N12294,IAN,1,34
BAY,12005,2022311N21293,NICOLE,1,34
BAY,12005,2023239N21274,IDALIA,1,34
BAY,12005,2024214N18298,DEBBY,1,34
BAY,12005,2024266N14277,HELENE,1,50
BAY,12005,2024278N21265,MILTON,1,34
BRADFORD,12007,2016158N22272,COLIN,1,34
BRADFORD,12007,2016242N24279,HERMINE,1,50
BRADFORD,12007,2016257N27280,JULIA,1,34
BRADFORD,12007,2016273N13300,MATTHEW,1,50
BRADFORD,12007,2017242N16333,IRMA,1,50
BRADFORD,12007,2019236N10314,DORIAN,1,34
BRADFORD,12007,2019291N22264,NESTOR,1,34
BRADFORD,12007,2020211N13306,ISAIAS,1,34
BRADFORD,12007,2020306N15288,ETA,1,34
BRADFORD,12007,2021182N09317,ELSA,1,34
BRADFORD,12007,2022154N21273,ALEX,1,34
BRADFORD,12007,2022266N12294,IAN,1,34
BRADFORD,12007,2022311N21293,NICOLE,1,50
BRADFORD,12007,2023239N21274,IDALIA,1,34
BRADFORD,12007,2024214N18298,DEBBY,1,50
BRADFORD,12007,2024266N14277,HELENE,1,50
BRADFORD,12007,2024278N21265,MILTON,1,34
BREVARD,12009,2014180N32282,ARTHUR,1,34
BREVARD,12009,2016158N22272,COLIN,1,34
BREVARD,12009,2016257N27280,JULIA,1,34
BREVARD,12009,2016273N13300,MATTHEW,1,64
BREVARD,12009,2017242N16333,IRMA,1,50
BREVARD,12009,2019236N10314,DORIAN,1,50
BREVARD,12009,2019291N22264,NESTOR,1,34
BREVARD,12009,2020211N13306,ISAIAS,1,50
BREVARD,12009,2020306N15288,ETA,1,34
BREVARD,12009,2022154N21273,ALEX,1,34
BREVARD,12009,2022266N12294,IAN,1,64
BREVARD,12009,2022311N21293,NICOLE,1,64
BREVARD,12009,2023239N21274,IDALIA,1,34
BREVARD,12009,2024214N18298,DEBBY,1,34
BREVARD,12009,2024232N12229,HONE,1,34
BREVARD,12009,2024266N14277,HELENE,1,34
BREVARD,12009,2024278N21265,MILTON,1,64
BROWARD,12011,2015229N08212,KILO,1,34
BROWARD,12011,2016273N13300,MATTHEW,1,50
BROWARD,12011,2017242N16333,IRMA,1,64
BROWARD,12011,2018213N12245,HECTOR,1,34
BROWARD,12011,2018246N22283,GORDON,1,34
BROWARD,12011,2019236N10314,DORIAN,1,34
BROWARD,12011,2020211N13306,ISAIAS,1,50
BROWARD,12011,2020256N25281,SALLY,1,34
BROWARD,12011,2020306N15288,ETA,1,34
BROWARD,12011,2022154N21273,ALEX,1,34
BROWARD,12011,2022266N12294,IAN,1,50
BROWARD,12011,2022311N21293,NICOLE,1,50
BROWARD,12011,2024232N12229,HONE,1,34
BROWARD,12011,2024266N14277,HELENE,1,34
BROWARD,12011,2024278N21265,MILTON,1,34
CALHOUN,12013,2016158N22272,COLIN,1,34
CALHOUN,12013,2016242N24279,HERMINE,1,50
