EventName,StateName,CountyName,Hazard,StartDate,EndDate,Month,Quarter,Year,Duration_Days,Location,County_FIPS,Remarks,Fatalities,FatalitiesPerCapita,Fatalities_Duration,Injuries,InjuriesPerCapita,Injuries_Duration,PropertyDmg,PropertyDmg(ADJ),PropertyDmgPerCapita,PropertyDmgDuration
Hurricane 2020 Sally,ALABAMA,Autauga, Wind,9/16/20,9/16/20,9,3,2020,1,,01001,NCDC_Strong Wind,0,0,0,0,0,0,0,0,0,0
Hurricane 2020 Laura,ALABAMA,Baldwin, Coastal,8/29/20,8/29/20,8,3,2020,1,,01003,NCDC_Rip Current,1,0,1,0,0,0,0,0,0,0
Hurricane 2020 Sally,ALABAMA,Baldwin, Hurricane/Tropical Storm,9/15/20,9/16/20,9,3,2020,2,,01003,NCDC_Hurricane,0,0,0,0,0,0,234480000,269314333.1,1154.73,2
Hurricane 2020 Sally,ALABAMA,Baldwin, Flooding,9/15/20,9/16/20,9,3,2020,2,,01003,NCDC_Storm Surge/Tide,1,0,2,0,0,0,0,0,0,0
Hurricane 2020 Sally,ALABAMA,Barbour, Wind,9/16/20,9/16/20,9,3,2020,1,,01005,NCDC_Strong Wind,0,0,0,0,0,0,0,0,0,0
Hurricane 2020 Sally,ALABAMA,Bullock, Wind,9/16/20,9/16/20,9,3,2020,1,,01011,NCDC_Strong Wind,0,0,0,0,0,0,0,0,0,0
Hurricane 2020 Sally,ALABAMA,Butler, Hurricane/Tropical Storm,9/15/20,9/15/20,9,3,2020,1,,01013,NCDC_Tropical Storm,0,0,0,0,0,0,234000,268763.02,14.13,1
Hurricane 2017 Irma,ALABAMA,Coffee, Hurricane/Tropical Storm,9/11/17,9/11/17,9,3,2017,1,,01031,NCDC_Tropical Storm,0,0,0,0,0,0,100000,120697.79,2.33,1
Hurricane 2020 Sally,ALABAMA,Coffee, Flooding,9/16/20,9/16/20,9,3,2020,1,,01031,NCDC_Flash Flood,0,0,0,0,0,0,500000,574279.97,10.72,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/27/20,8/27/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/27/20,8/27/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/27/20,8/27/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/27/20,8/27/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/27/20,8/27/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/27/20,8/27/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/28/20,8/28/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/28/20,8/28/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/28/20,8/28/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/28/20,8/28/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/30/20,8/30/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/31/20,8/31/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/31/20,8/31/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/31/20,8/31/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Laura,ALABAMA,Colbert," Severe Storm/Thunder Storm, Wind",8/31/20,8/31/20,8,3,2020,1,,01033,NCDC_Thunderstorm Wind,0,0,0,0,0,0,200,229.71,0,1
Hurricane 2020 Delta,ALABAMA,Colbert, Wind,10/10/20,10/10/20,10,4,2020,1,,01033,NCDC_Strong Wind,0,0,0,0,0,0,500,574.28,0.01,1
